season,week,game_id,game_date,away_team,home_team,predicted_winner,actual_winner,winner_pick_correct,predicted_home_score,predicted_away_score,predicted_total,actual_home_score,actual_away_score,actual_total,predicted_margin,actual_margin,margin_abs_error,ai_spread,vegas_spread,predicted_cover_outcome,actual_cover_outcome,spread_pick_correct,vegas_total,predicted_total_outcome,actual_total_outcome,total_pick_correct,total_abs_error
2024,3,2024_03_SF_LA,2024-09-22,SF,LA,LA,LA,True,24.4,20.1,44.5,27,24,51,4.2,3,1.2000000000000002,-4.2,-6.0,AWAY_COVER,AWAY_COVER,True,44.5,PUSH,OVER,,6.5
2024,3,2024_03_JAX_BUF,2024-09-23,JAX,BUF,BUF,BUF,True,28.5,18.0,46.5,47,10,57,10.4,37,26.6,-10.4,4.0,HOME_COVER,HOME_COVER,True,46.5,PUSH,OVER,,10.5
2024,3,2024_03_WAS_CIN,2024-09-23,WAS,CIN,CIN,WAS,False,26.7,19.3,46.0,33,38,71,7.4,-5,12.4,-7.4,7.5,HOME_COVER,HOME_COVER,True,46.0,PUSH,OVER,,25.0
2024,4,2024_04_DAL_NYG,2024-09-26,DAL,NYG,NYG,DAL,False,24.7,20.3,45.0,15,20,35,4.3,-5,9.3,-4.3,-5.5,AWAY_COVER,AWAY_COVER,True,45.0,PUSH,UNDER,,10.0
2024,4,2024_04_BUF_BAL,2024-09-29,BUF,BAL,BAL,BAL,True,27.1,19.4,46.5,35,10,45,7.6,25,17.4,-7.6,2.5,HOME_COVER,HOME_COVER,True,46.5,PUSH,UNDER,,1.5
2024,4,2024_04_CIN_CAR,2024-09-29,CIN,CAR,CAR,CIN,False,25.6,21.4,47.0,24,34,58,4.1,-10,14.1,-4.1,-4.5,AWAY_COVER,AWAY_COVER,True,47.0,PUSH,OVER,,11.0
2024,4,2024_04_CLE_LV,2024-09-29,CLE,LV,LV,LV,True,22.9,13.6,36.5,20,16,36,9.3,4,5.300000000000001,-9.3,-2.5,HOME_COVER,HOME_COVER,True,36.5,PUSH,UNDER,,0.5
2024,4,2024_04_DEN_NYJ,2024-09-29,DEN,NYJ,NYJ,DEN,False,25.6,13.9,39.5,9,10,19,11.6,-1,12.6,-11.6,7.5,HOME_COVER,HOME_COVER,True,39.5,PUSH,UNDER,,20.5
2024,4,2024_04_JAX_HOU,2024-09-29,JAX,HOU,HOU,HOU,True,27.4,17.1,44.5,24,20,44,10.3,4,6.300000000000001,-10.3,5.5,HOME_COVER,HOME_COVER,True,44.5,PUSH,UNDER,,0.5
2024,4,2024_04_KC_LAC,2024-09-29,KC,LAC,LAC,KC,False,23.1,18.4,41.5,10,17,27,4.6,-7,11.6,-4.6,-7.5,AWAY_COVER,AWAY_COVER,True,41.5,PUSH,UNDER,,14.5
2024,4,2024_04_LA_CHI,2024-09-29,LA,CHI,CHI,CHI,True,24.0,16.0,40.0,24,18,42,7.9,6,1.9000000000000004,-7.9,3.0,HOME_COVER,HOME_COVER,True,40.0,PUSH,OVER,,2.0
2024,4,2024_04_MIN_GB,2024-09-29,MIN,GB,GB,MIN,False,26.2,17.8,44.0,29,31,60,8.4,-2,10.4,-8.4,2.5,HOME_COVER,HOME_COVER,True,44.0,PUSH,OVER,,16.0
2024,4,2024_04_NE_SF,2024-09-29,NE,SF,SF,SF,True,27.6,13.9,41.5,30,13,43,13.6,17,3.4000000000000004,-13.6,10.5,HOME_COVER,HOME_COVER,True,41.5,PUSH,OVER,,1.5
2024,4,2024_04_NO_ATL,2024-09-29,NO,ATL,ATL,ATL,True,23.1,18.4,41.5,26,24,50,4.7,2,2.7,-4.7,2.5,HOME_COVER,HOME_COVER,True,41.5,PUSH,OVER,,8.5
2024,4,2024_04_PHI_TB,2024-09-29,PHI,TB,TB,TB,True,24.3,17.7,42.0,33,16,49,6.5,17,10.5,-6.5,-1.0,HOME_COVER,HOME_COVER,True,42.0,PUSH,OVER,,7.0
2024,4,2024_04_PIT_IND,2024-09-29,PIT,IND,IND,IND,True,23.4,16.6,40.0,27,24,51,6.7,3,3.7,-6.7,-2.5,HOME_COVER,HOME_COVER,True,40.0,PUSH,OVER,,11.0
2024,4,2024_04_WAS_ARI,2024-09-29,WAS,ARI,ARI,WAS,False,28.9,20.1,49.0,14,42,56,8.7,-28,36.7,-8.7,3.5,HOME_COVER,AWAY_COVER,False,49.0,PUSH,OVER,,7.0
2024,4,2024_04_SEA_DET,2024-09-30,SEA,DET,DET,DET,True,27.6,18.9,46.5,42,29,71,8.8,13,4.199999999999999,-8.8,3.5,HOME_COVER,HOME_COVER,True,46.5,PUSH,OVER,,24.5
2024,4,2024_04_TEN_MIA,2024-09-30,TEN,MIA,MIA,TEN,False,23.3,13.7,37.0,12,31,43,9.7,-19,28.7,-9.7,2.5,HOME_COVER,AWAY_COVER,False,37.0,PUSH,OVER,,6.0
2024,5,2024_05_TB_ATL,2024-10-03,TB,ATL,ATL,ATL,True,25.7,18.3,44.0,36,30,66,7.3,6,1.2999999999999998,-7.3,2.5,HOME_COVER,HOME_COVER,True,44.0,PUSH,OVER,,22.0
2024,5,2024_05_ARI_SF,2024-10-06,ARI,SF,SF,ARI,False,29.6,18.9,48.5,23,24,47,10.7,-1,11.7,-10.7,7.0,HOME_COVER,HOME_COVER,True,48.5,PUSH,UNDER,,1.5
2024,5,2024_05_BAL_CIN,2024-10-06,BAL,CIN,CIN,BAL,False,27.8,20.7,48.5,38,41,79,7.1,-3,10.1,-7.1,-2.5,HOME_COVER,AWAY_COVER,False,48.5,PUSH,OVER,,30.5
2024,5,2024_05_BUF_HOU,2024-10-06,BUF,HOU,HOU,HOU,True,27.4,20.6,48.0,23,20,43,6.9,3,3.9000000000000004,-6.9,1.0,HOME_COVER,HOME_COVER,True,48.0,PUSH,UNDER,,5.0
2024,5,2024_05_CAR_CHI,2024-10-06,CAR,CHI,CHI,CHI,True,24.6,15.4,40.0,36,10,46,9.1,26,16.9,-9.1,4.0,HOME_COVER,HOME_COVER,True,40.0,PUSH,OVER,,6.0
2024,5,2024_05_CLE_WAS,2024-10-06,CLE,WAS,WAS,WAS,True,28.3,15.7,44.0,34,13,47,12.7,21,8.3,-12.7,3.0,HOME_COVER,HOME_COVER,True,44.0,PUSH,OVER,,3.0
2024,5,2024_05_DAL_PIT,2024-10-06,DAL,PIT,PIT,DAL,False,25.6,17.9,43.5,17,20,37,7.7,-3,10.7,-7.7,2.5,HOME_COVER,AWAY_COVER,False,43.5,PUSH,UNDER,,6.5
2024,5,2024_05_GB_LA,2024-10-06,GB,LA,LA,GB,False,27.4,22.1,49.5,19,24,43,5.4,-5,10.4,-5.4,-3.0,HOME_COVER,AWAY_COVER,False,49.5,PUSH,UNDER,,6.5
2024,5,2024_05_IND_JAX,2024-10-06,IND,JAX,JAX,JAX,True,26.0,19.0,45.0,37,34,71,6.9,3,3.9000000000000004,-6.9,3.5,HOME_COVER,HOME_COVER,True,45.0,PUSH,OVER,,26.0
2024,5,2024_05_LV_DEN,2024-10-06,LV,DEN,DEN,DEN,True,21.9,14.1,36.0,34,18,52,7.9,16,8.1,-7.9,3.0,HOME_COVER,HOME_COVER,True,36.0,PUSH,OVER,,16.0
2024,5,2024_05_MIA_NE,2024-10-06,MIA,NE,NE,MIA,False,22.6,14.4,37.0,10,15,25,8.2,-5,13.2,-8.2,-2.0,HOME_COVER,AWAY_COVER,False,37.0,PUSH,UNDER,,12.0
2024,5,2024_05_NYG_SEA,2024-10-06,NYG,SEA,SEA,NYG,False,27.1,15.4,42.5,20,29,49,11.7,-9,20.7,-11.7,7.0,HOME_COVER,AWAY_COVER,False,42.5,PUSH,OVER,,6.5
2024,5,2024_05_NYJ_MIN,2024-10-06,NYJ,MIN,MIN,MIN,True,26.2,15.8,42.0,23,17,40,10.5,6,4.5,-10.5,2.5,HOME_COVER,HOME_COVER,True,42.0,PUSH,UNDER,,2.0
2024,5,2024_05_NO_KC,2024-10-07,NO,KC,KC,KC,True,25.4,17.6,43.0,26,13,39,7.9,13,5.1,-7.9,5.5,HOME_COVER,HOME_COVER,True,43.0,PUSH,UNDER,,4.0
2024,6,2024_06_SF_SEA,2024-10-10,SF,SEA,SEA,SF,False,27.6,21.4,49.0,24,36,60,6.3,-12,18.3,-6.3,-3.5,HOME_COVER,AWAY_COVER,False,49.0,PUSH,OVER,,11.0
2024,6,2024_06_ARI_GB,2024-10-13,ARI,GB,GB,GB,True,28.3,18.7,47.0,34,13,47,9.5,21,11.5,-9.5,5.5,HOME_COVER,HOME_COVER,True,47.0,PUSH,PUSH,,0.0
2024,6,2024_06_ATL_CAR,2024-10-13,ATL,CAR,CAR,ATL,False,25.0,20.5,45.5,20,38,58,4.5,-18,22.5,-4.5,-6.0,AWAY_COVER,AWAY_COVER,True,45.5,PUSH,OVER,,12.5
2024,6,2024_06_CIN_NYG,2024-10-13,CIN,NYG,NYG,CIN,False,25.6,20.4,46.0,7,17,24,5.1,-10,15.1,-5.1,-4.5,HOME_COVER,AWAY_COVER,False,46.0,PUSH,UNDER,,22.0
2024,6,2024_06_CLE_PHI,2024-10-13,CLE,PHI,PHI,PHI,True,27.3,14.7,42.0,20,16,36,12.6,4,8.6,-12.6,8.0,HOME_COVER,HOME_COVER,True,42.0,PUSH,UNDER,,6.0
2024,6,2024_06_DET_DAL,2024-10-13,DET,DAL,DAL,DET,False,29.7,22.8,52.5,9,47,56,6.8,-38,44.8,-6.8,-3.5,HOME_COVER,AWAY_COVER,False,52.5,PUSH,OVER,,3.5
2024,6,2024_06_HOU_NE,2024-10-13,HOU,NE,NE,HOU,False,21.5,17.0,38.5,21,41,62,4.4,-20,24.4,-4.4,-6.5,AWAY_COVER,AWAY_COVER,True,38.5,PUSH,OVER,,23.5
2024,6,2024_06_IND_TEN,2024-10-13,IND,TEN,TEN,IND,False,24.4,17.6,42.0,17,20,37,6.8,-3,9.8,-6.8,2.5,HOME_COVER,AWAY_COVER,False,42.0,PUSH,UNDER,,5.0
2024,6,2024_06_JAX_CHI,2024-10-13,JAX,CHI,CHI,CHI,True,25.9,18.6,44.5,35,16,51,7.4,19,11.6,-7.4,-1.5,HOME_COVER,HOME_COVER,True,44.5,PUSH,OVER,,6.5
2024,6,2024_06_LAC_DEN,2024-10-13,LAC,DEN,DEN,LAC,False,22.1,14.9,37.0,16,23,39,7.1,-7,14.1,-7.1,-3.0,HOME_COVER,AWAY_COVER,False,37.0,PUSH,OVER,,2.0
2024,6,2024_06_PIT_LV,2024-10-13,PIT,LV,LV,PIT,False,21.8,14.7,36.5,13,32,45,7.1,-19,26.1,-7.1,-3.5,HOME_COVER,AWAY_COVER,False,36.5,PUSH,OVER,,8.5
2024,6,2024_06_TB_NO,2024-10-13,TB,NO,NO,TB,False,25.2,17.3,42.5,27,51,78,7.8,-24,31.8,-7.8,-3.5,HOME_COVER,AWAY_COVER,False,42.5,PUSH,OVER,,35.5
2024,6,2024_06_WAS_BAL,2024-10-13,WAS,BAL,BAL,BAL,True,30.7,20.8,51.5,30,23,53,9.8,7,2.8000000000000007,-9.8,6.5,HOME_COVER,HOME_COVER,True,51.5,PUSH,OVER,,1.5
2024,6,2024_06_BUF_NYJ,2024-10-14,BUF,NYJ,NYJ,BUF,False,24.3,17.7,42.0,20,23,43,6.6,-3,9.6,-6.6,-1.0,HOME_COVER,AWAY_COVER,False,42.0,PUSH,OVER,,1.0
2024,7,2024_07_DEN_NO,2024-10-17,DEN,NO,NO,DEN,False,23.3,13.7,37.0,10,33,43,9.5,-23,32.5,-9.5,-2.5,HOME_COVER,AWAY_COVER,False,37.0,PUSH,OVER,,6.0
2024,7,2024_07_CAR_WAS,2024-10-20,CAR,WAS,WAS,WAS,True,31.8,19.2,51.0,40,7,47,12.6,33,20.4,-12.6,10.0,HOME_COVER,HOME_COVER,True,51.0,PUSH,UNDER,,4.0
2024,7,2024_07_CIN_CLE,2024-10-20,CIN,CLE,CLE,CIN,False,22.5,19.5,42.0,14,21,35,3.1,-7,10.1,-3.1,-5.5,AWAY_COVER,AWAY_COVER,True,42.0,PUSH,UNDER,,7.0
2024,7,2024_07_DET_MIN,2024-10-20,DET,MIN,MIN,DET,False,29.1,21.4,50.5,29,31,60,7.7,-2,9.7,-7.7,1.0,HOME_COVER,AWAY_COVER,False,50.5,PUSH,OVER,,9.5
2024,7,2024_07_HOU_GB,2024-10-20,HOU,GB,GB,GB,True,28.7,19.3,48.0,24,22,46,9.4,2,7.4,-9.4,3.0,HOME_COVER,HOME_COVER,True,48.0,PUSH,UNDER,,2.0
2024,7,2024_07_KC_SF,2024-10-20,KC,SF,SF,KC,False,28.6,18.9,47.5,18,28,46,9.7,-10,19.7,-9.7,2.5,HOME_COVER,AWAY_COVER,False,47.5,PUSH,UNDER,,1.5
2024,7,2024_07_LV_LA,2024-10-20,LV,LA,LA,LA,True,26.7,16.3,43.0,20,15,35,10.4,5,5.4,-10.4,7.0,HOME_COVER,HOME_COVER,True,43.0,PUSH,UNDER,,8.0
2024,7,2024_07_MIA_IND,2024-10-20,MIA,IND,IND,IND,True,27.4,16.6,44.0,16,10,26,10.7,6,4.699999999999999,-10.7,3.0,HOME_COVER,HOME_COVER,True,44.0,PUSH,UNDER,,18.0
2024,7,2024_07_NE_JAX,2024-10-20,NE,JAX,JAX,JAX,True,26.5,15.5,42.0,32,16,48,11.0,16,5.0,-11.0,6.5,HOME_COVER,HOME_COVER,True,42.0,PUSH,OVER,,6.0
2024,7,2024_07_NYJ_PIT,2024-10-20,NYJ,PIT,PIT,PIT,True,23.9,16.1,40.0,37,15,52,7.8,22,14.2,-7.8,-3.0,HOME_COVER,HOME_COVER,True,40.0,PUSH,OVER,,12.0
2024,7,2024_07_PHI_NYG,2024-10-20,PHI,NYG,NYG,PHI,False,24.2,17.8,42.0,3,28,31,6.5,-25,31.5,-6.5,-3.0,HOME_COVER,AWAY_COVER,False,42.0,PUSH,UNDER,,11.0
2024,7,2024_07_SEA_ATL,2024-10-20,SEA,ATL,ATL,SEA,False,30.2,21.3,51.5,14,34,48,9.0,-20,29.0,-9.0,3.0,HOME_COVER,AWAY_COVER,False,51.5,PUSH,UNDER,,3.5
2024,7,2024_07_TEN_BUF,2024-10-20,TEN,BUF,BUF,BUF,True,26.5,14.5,41.0,34,10,44,12.0,24,12.0,-12.0,9.5,HOME_COVER,HOME_COVER,True,41.0,PUSH,OVER,,3.0
2024,7,2024_07_BAL_TB,2024-10-21,BAL,TB,TB,BAL,False,29.1,21.9,51.0,31,41,72,7.3,-10,17.3,-7.3,-4.5,HOME_COVER,AWAY_COVER,False,51.0,PUSH,OVER,,21.0
2024,7,2024_07_LAC_ARI,2024-10-21,LAC,ARI,ARI,ARI,True,26.1,17.9,44.0,17,15,32,8.3,2,6.300000000000001,-8.3,-1.0,HOME_COVER,HOME_COVER,True,44.0,PUSH,UNDER,,12.0
2024,8,2024_08_MIN_LA,2024-10-24,MIN,LA,LA,LA,True,26.3,21.2,47.5,30,20,50,5.0,10,5.0,-5.0,-3.0,HOME_COVER,HOME_COVER,True,47.5,PUSH,OVER,,2.5
2024,8,2024_08_ARI_MIA,2024-10-27,ARI,MIA,MIA,ARI,False,26.9,19.6,46.5,27,28,55,7.4,-1,8.4,-7.4,4.0,HOME_COVER,HOME_COVER,True,46.5,PUSH,OVER,,8.5
2024,8,2024_08_ATL_TB,2024-10-27,ATL,TB,TB,ATL,False,27.9,19.1,47.0,26,31,57,8.8,-5,13.8,-8.8,-1.5,HOME_COVER,AWAY_COVER,False,47.0,PUSH,OVER,,10.0
2024,8,2024_08_BAL_CLE,2024-10-27,BAL,CLE,CLE,CLE,True,23.3,21.2,44.5,29,24,53,2.0,5,3.0,-2.0,-7.5,AWAY_COVER,AWAY_COVER,True,44.5,PUSH,OVER,,8.5
2024,8,2024_08_BUF_SEA,2024-10-27,BUF,SEA,SEA,BUF,False,26.5,19.0,45.5,10,31,41,7.4,-21,28.4,-7.4,-3.0,HOME_COVER,AWAY_COVER,False,45.5,PUSH,UNDER,,4.5
2024,8,2024_08_CAR_DEN,2024-10-27,CAR,DEN,DEN,DEN,True,26.1,14.4,40.5,28,14,42,11.8,14,2.1999999999999993,-11.8,13.0,HOME_COVER,HOME_COVER,True,40.5,PUSH,OVER,,1.5
2024,8,2024_08_CHI_WAS,2024-10-27,CHI,WAS,WAS,WAS,True,28.5,18.0,46.5,18,15,33,10.5,3,7.5,-10.5,1.5,HOME_COVER,HOME_COVER,True,46.5,PUSH,UNDER,,13.5
2024,8,2024_08_DAL_SF,2024-10-27,DAL,SF,SF,SF,True,29.3,18.7,48.0,30,24,54,10.7,6,4.699999999999999,-10.7,5.5,HOME_COVER,HOME_COVER,True,48.0,PUSH,OVER,,6.0
2024,8,2024_08_GB_JAX,2024-10-27,GB,JAX,JAX,GB,False,27.3,21.7,49.0,27,30,57,5.6,-3,8.6,-5.6,-3.5,HOME_COVER,AWAY_COVER,False,49.0,PUSH,OVER,,8.0
2024,8,2024_08_IND_HOU,2024-10-27,IND,HOU,HOU,HOU,True,27.0,18.0,45.0,23,20,43,9.0,3,6.0,-9.0,5.0,HOME_COVER,HOME_COVER,True,45.0,PUSH,UNDER,,2.0
