season,week,game_id,game_date,away_team,home_team,predicted_total,actual_total,total_abs_error,vegas_total,predicted_total_outcome,actual_total_outcome,total_pick_correct
2024,16,2024_16_HOU_KC,2024-12-21,HOU,KC,42.5,46,3.5,42.5,PUSH,OVER,
2024,16,2024_16_PIT_BAL,2024-12-21,PIT,BAL,44.5,51,6.5,44.5,PUSH,OVER,
2024,16,2024_16_ARI_CAR,2024-12-22,ARI,CAR,47.0,66,19.0,47.0,PUSH,OVER,
2024,16,2024_16_CLE_CIN,2024-12-22,CLE,CIN,46.5,30,16.5,46.5,PUSH,UNDER,
2024,16,2024_16_DET_CHI,2024-12-22,DET,CHI,47.5,51,3.5,47.5,PUSH,OVER,
2024,16,2024_16_JAX_LV,2024-12-22,JAX,LV,41.5,33,8.5,41.5,PUSH,UNDER,
2024,16,2024_16_LA_NYJ,2024-12-22,LA,NYJ,47.0,28,19.0,47.0,PUSH,UNDER,
2024,16,2024_16_MIN_SEA,2024-12-22,MIN,SEA,43.0,51,8.0,43.0,PUSH,OVER,
2024,16,2024_16_NE_BUF,2024-12-22,NE,BUF,48.0,45,3.0,48.0,PUSH,UNDER,
2024,16,2024_16_NYG_ATL,2024-12-22,NYG,ATL,42.5,41,1.5,42.5,PUSH,UNDER,
2024,16,2024_16_PHI_WAS,2024-12-22,PHI,WAS,47.0,69,22.0,47.0,PUSH,OVER,
2024,16,2024_16_SF_MIA,2024-12-22,SF,MIA,44.0,46,2.0,44.0,PUSH,OVER,
2024,16,2024_16_TB_DAL,2024-12-22,TB,DAL,47.5,50,2.5,47.5,PUSH,OVER,
2024,16,2024_16_TEN_IND,2024-12-22,TEN,IND,42.5,68,25.5,42.5,PUSH,OVER,
2024,16,2024_16_NO_GB,2024-12-23,NO,GB,44.0,34,10.0,44.0,PUSH,UNDER,
2024,17,2024_17_BAL_HOU,2024-12-25,BAL,HOU,46.5,33,13.5,46.5,PUSH,UNDER,
2024,17,2024_17_KC_PIT,2024-12-25,KC,PIT,43.5,39,4.5,43.5,PUSH,UNDER,
2024,17,2024_17_SEA_CHI,2024-12-26,SEA,CHI,43.5,9,34.5,43.5,PUSH,UNDER,
2024,17,2024_17_ARI_LA,2024-12-28,ARI,LA,48.0,22,26.0,48.0,PUSH,UNDER,
2024,17,2024_17_DEN_CIN,2024-12-28,DEN,CIN,50.5,54,3.5,50.5,PUSH,OVER,
